epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,3431.69,0.93291,0.66459,1.29955,0.94974,0.86474,0.93436,0.58399,1.28826,0.62529,1.53315,0.000113384,0.000113384,0.000113384
140,3456.54,0.94206,0.67707,1.30631,0.95869,0.86109,0.93508,0.586,1.27586,0.63586,1.51642,0.000110186,0.000110186,0.000110186
141,3480.33,0.92403,0.65052,1.2903,0.94479,0.87364,0.93684,0.58151,1.2968,0.62432,1.54374,0.000107023,0.000107023,0.000107023
142,3505.28,0.96255,0.68918,1.32668,0.93264,0.87853,0.93947,0.5845,1.31959,0.62015,1.56308,0.000103896,0.000103896,0.000103896
143,3530.27,0.92011,0.65502,1.29685,0.94585,0.88223,0.94087,0.5949,1.28509,0.62088,1.53332,0.000100806,0.000100806,0.000100806
144,3556.67,0.92922,0.66268,1.30057,0.9513,0.87945,0.94135,0.59254,1.28042,0.61388,1.53343,9.77524e-05,9.77524e-05,9.77524e-05
145,3581.47,0.90678,0.63856,1.29684,0.9276,0.88666,0.9379,0.58291,1.29825,0.63031,1.55584,9.47376e-05,9.47376e-05,9.47376e-05
146,3606.34,0.92754,0.65856,1.29929,0.94763,0.87139,0.93521,0.5876,1.29473,0.63493,1.54355,9.17616e-05,9.17616e-05,9.17616e-05
147,3631.04,0.92846,0.65297,1.30402,0.95121,0.87608,0.93954,0.59334,1.28241,0.62544,1.53338,8.88253e-05,8.88253e-05,8.88253e-05
148,3655.75,0.92049,0.64646,1.29052,0.92918,0.8787,0.93983,0.59132,1.29453,0.61863,1.54518,8.59294e-05,8.59294e-05,8.59294e-05
149,3680.47,0.91814,0.65408,1.30499,0.93045,0.87966,0.93857,0.59453,1.27654,0.6126,1.53395,8.30746e-05,8.30746e-05,8.30746e-05
150,3705,0.92238,0.66495,1.30685,0.92984,0.88718,0.94194,0.59318,1.29463,0.61018,1.54143,8.02616e-05,8.02616e-05,8.02616e-05
151,3730.98,0.92494,0.66366,1.30022,0.93418,0.88552,0.93995,0.5936,1.27606,0.61399,1.5314,7.74911e-05,7.74911e-05,7.74911e-05
152,3755.36,0.92193,0.65858,1.29339,0.94721,0.86948,0.93719,0.5952,1.29845,0.61869,1.54442,7.47637e-05,7.47637e-05,7.47637e-05
